pair,comparison_id,hands,detected_hands,match_hands,average_distance,average_distance_z,average_distance_xyz,average_distance_xyz_z,average_distance_adjusted,average_distance_so,average_distance_movement,average_distance_position,average_distance_smop,left_thumb,left_index,left_middle,left_ring,left_pinky,left_wrist,right_thumb,right_index,right_middle,right_ring,right_pinky,right_wrist,left_movement,left_position,left_so,left_smop,right_movement,right_position,right_so,right_smop,left_right_thumb,left_right_index,left_right_middle,left_right_ring,left_right_pinky,left_right_wrist,right_left_thumb,right_left_index,right_left_middle,right_left_ring,right_left_pinky,right_left_wrist,left_thumb_z,left_index_z,left_middle_z,left_ring_z,left_pinky_z,left_wrist_z,right_thumb_z,right_index_z,right_middle_z,right_ring_z,right_pinky_z,right_wrist_z,left_thumb_xyz,left_index_xyz,left_middle_xyz,left_ring_xyz,left_pinky_xyz,left_wrist_xyz,right_thumb_xyz,right_index_xyz,right_middle_xyz,right_ring_xyz,right_pinky_xyz,right_wrist_xyz,left_thumb_xyz_z,left_index_xyz_z,left_middle_xyz_z,left_ring_xyz_z,left_pinky_xyz_z,left_wrist_xyz_z,right_thumb_xyz_z,right_index_xyz_z,right_middle_xyz_z,right_ring_xyz_z,right_pinky_xyz_z,right_wrist_xyz_z,left_thumb_adjusted,left_index_adjusted,left_middle_adjusted,left_ring_adjusted,left_pinky_adjusted,right_thumb_adjusted,right_index_adjusted,right_middle_adjusted,right_ring_adjusted,right_pinky_adjusted,round,target,A_LH_referent,A_RH_referent,B_LH_referent,B_RH_referent,gesture_similarity_coding,A_begin_hmsm,A_begin_msec,A_end_hmsm,A_end_msec,A_duration_msec,A_round,A_trial,A_target,A_hands,B_begin_hmsm,B_begin_msec,B_end_hmsm,B_end_msec,B_duration_msec,B_round,B_trial,B_target,B_hands,pairnr,include,speaker_1,speaker_2,handedness,position,shape,movement,orientation,n_hand_A,n_hand_B,handedness_one_or_both,n_features_original,n_features,n_features_shape_movement,duration_diff,duration_diff_abs,A_begin_msec_adj,A_end_msec_adj,A_duration_msec_adj,B_begin_msec_adj,B_end_msec_adj,B_duration_msec_adj,min_duration_adj,hands_dtw,A_begin_msec_aligned,A_end_msec_aligned,B_begin_msec_aligned,B_end_msec_aligned,A_duration_msec_aligned
pair05,1,both,both,True,0.5124903246167202,2.358916230176555,0.5149578581634413,1.504029740322514,0.240195268171233,0.4129633572229098,0.023673422797557672,1.082153888224933,0.5062635560818003,0.34721039055717917,0.5333070058872037,0.570310862452162,0.5434025513379219,0.48995926013226515,0.9783331718266127,0.1949557745155232,0.3305706299609803,0.36585182668559846,0.3798065550946769,0.37425871560558727,1.0419171513449317,0.021161409492436514,1.059637311786992,0.4968380140733464,0.5258789117842583,0.026185436102678834,1.1046704646628744,0.32908870037247323,0.4866482003793422,0.17795698010418476,0.3062916248318927,0.3451411947312772,0.3614314005973173,0.3628257792904981,1.0984798239709044,0.35862906917437615,0.5473722932084198,0.5870833751785319,0.5598576181219703,0.504558681172263,0.9592848208029844,2.428811925902268,2.247357758241225,2.1890156673558607,2.2093156303029717,2.3872080443673527,2.396750543080301,2.151815276492841,2.34315174914121,2.2943674454967287,2.368430437261709,2.5952863809232576,2.6954839035529297,0.34743813909404475,0.5333635343805446,0.570507100741784,0.5438912020395413,0.49150693275699175,0.9919538577797347,0.195754198597112,0.3308221885262747,0.3659696169533904,0.3798352893234329,0.37449729232632245,1.0539549454421215,1.4999109180947283,1.6211119624169157,1.6397109590997245,1.4871771714499886,1.3963216061044825,1.5055528486636194,1.751620062738882,1.6704366136523812,1.1074499000807612,1.1848448563581022,1.524945012969085,1.6592749722414957,0.07442343137017127,0.08094916539580378,0.08822783235971607,0.09055048324608163,0.08925849480839732,0.07176678101655178,0.07969438170515501,0.09641519308563908,0.0961321009527326,0.09467503094300293,R1-R2,16,16A+16C,16A+16C,16A+16C,16A+16C,H1P0S0M0R0,00:02:46.435,166435,00:02:47.595,167595,1160,R1,1.6,16,ppA_both,00:08:40.292,520292,00:08:41.012,521012,720,R2,2.3,16,ppB_both,5,1,A,B,1,0,0,0,0,2,2,1,1,1,0,440,440,166435.0,167595.0,1160.0,520292.0,521012.0,720.0,720.0,both,166435.0,167595.0,520072.0,521232.0,1160.0
pair05,2,both,both,True,0.5167516982872306,2.4849080807383936,0.5184571685555122,1.6936628147502466,0.2734754744627779,0.4093298234858861,0.011755501052210007,1.095381092272024,0.5054888056033733,0.28488366870988074,0.4484546328078691,0.5091849202214789,0.4743836730857237,0.43388628782061045,1.1660800940896834,0.35044605661995776,0.43094779801755306,0.3962261746155207,0.3903108737931865,0.3745741491670802,0.9416420504982216,0.014248496221847715,1.1973952489354016,0.43015863652911257,0.5472674605621206,0.009262505882572299,0.9933669356086461,0.3885010104426596,0.463710150644626,0.12305705071948254,0.2397157072163781,0.28191230401409456,0.2969539850430293,0.29432031557302823,1.360529260164173,0.4049687550386842,0.5157602620398963,0.5366792467265313,0.5086658521592243,0.47307892003994023,1.108699802148966,2.075287013431271,2.2142136935842123,2.1850984827753375,2.1301852252031868,2.275843294495635,2.717819821692035,2.7258236623042524,2.7429188604261525,2.7077890313245585,2.679364357384397,2.652631370242123,2.7119221559975673,0.2851158376940863,0.448565034014455,0.5094239606059334,0.47487455096584685,0.43543305086556994,1.1733291541181219,0.3511227916408357,0.431338046831633,0.39633735869272857,0.39049146793180217,0.37514192872620994,0.9503128405789234,1.7120568715435618,1.7041573503320246,1.6591077580065396,1.6587549307121858,1.777386367335909,1.7579348987590202,1.205411471631524,1.6175040167573842,1.929163028730114,1.9095235237712318,1.6432380015885788,1.7497155578348835,0.10591563389575807,0.12428931783171347,0.12649015937116037,0.12988580294094357,0.14589575840218322,0.10276890744043832,0.11277245387728801,0.11928985401353423,0.11268164708021267,0.09399401411219808,R1-R2,16,16A+16C,16A+16C,16A+16C,16A+16C,H1P0S0M0R0,00:02:50.417,170417,00:02:51.539,171539,1122,R1,1.6,16,ppA_both,00:08:40.292,520292,00:08:41.012,521012,720,R2,2.3,16,ppB_both,5,1,A,B,1,0,0,0,0,2,2,1,1,1,0,402,402,170417.0,171539.0,1122.0,520292.0,521012.0,720.0,720.0,both,170417.0,171539.0,520091.0,521213.0,1122.0
pair05,3,both,both,True,0.2614021530712098,2.6130073534603815,0.2640280815881589,1.7022668614516747,0.1491247280446576,0.19455249940806002,0.004698865665773677,0.623645548641346,0.2742989712383933,0.10836435563952683,0.11360792915656541,0.10946610674771624,0.09317937298939714,0.0746032813282324,0.2077167880097229,0.2694327240549996,0.33334412462799706,0.28053035534539505,0.27899941968277436,0.283997324507996,0.9835840547641944,0.004867331200075612,0.21778006145846582,0.09984420917228762,0.10749720061027634,0.004530400131471741,1.0295110358242263,0.28926078964383245,0.4411007418665102,0.2306413150183468,0.33989618534601523,0.2697426097526826,0.23221193767735562,0.19638500971821796,0.8821319387257727,0.3820530892833131,0.4233423764824056,0.41912452791959526,0.3783731680291684,0.3431183991342403,1.0653574301259685,2.0053204144271874,2.1060104296849635,2.444661037863725,2.4127804924114677,2.6126984763718535,2.8454221445211125,2.742992849669898,2.8344308833240066,2.812202590075646,2.834188601865221,2.83945612145146,2.865924199858033,0.1123913372230765,0.11469325341305879,0.10977481067145034,0.0933561672671906,0.07590059941014417,0.22675131351169153,0.2700239788738873,0.33347811141042544,0.28086792157017354,0.279193718489536,0.28409067173121066,0.9878150954860615,1.1445946923139385,1.42030707282946,2.225287918832472,2.220411684292716,2.0950559045115678,1.929484336666249,2.0758780310456793,1.7473656728061775,1.6250784122187898,1.24457038882597,1.251526797287562,1.4476414257895163,0.05344605099563782,0.048925764757707685,0.06326151360941855,0.06751041532867977,0.07187562492126809,0.07856035509706125,0.057169363544256155,0.06277819211230135,0.055755392899111834,0.03891322049653141,R1-R2,16,,16A+16C,16A+16C,16A+16C,H0P0S9M0R1,00:02:52.693,172693,00:02:52.933,172933,240,R1,1.6,16,ppA_right,00:08:40.292,520292,00:08:41.012,521012,720,R2,2.3,16,ppB_both,5,1,A,B,0,0,0,0,1,1,2,0,1,1,0,-480,480,172648.0,172978.0,330.0,520292.0,521012.0,720.0,330.0,both,172453.0,173173.0,520292.0,521012.0,720.0
pair05,4,both,both,True,0.2696667111527921,2.608020166855237,0.2721089906983988,1.6789654701746901,0.17400294572691644,0.1708982085779588,0.003971500020708463,0.79567585897654,0.3235151891917357,0.08547100511515524,0.0887313588150729,0.08491776674934647,0.06688959988555274,0.0614162128436833,0.16468877804583296,0.2380708060504751,0.3642888236556581,0.24091147331017257,0.24035386510239298,0.2379311742520784,1.3623296700080845,0.003386543358002862,0.17502984749308179,0.07748518868176214,0.08530052651094892,0.0045564566834140644,1.4163218704599982,0.26431122847415545,0.5617298518725226,0.2202929454073431,0.3284875897599399,0.26048701781053885,0.21317087499781498,0.15706920283218143,0.8619847304272397,0.3539407138565976,0.4515340932736477,0.3763448294895865,0.34618921699693994,0.3133298006560153,1.5190512204850617,1.7258342745173147,2.036128892125445,2.4882057117272836,2.5049272103749267,2.6609273162966094,2.7255703663794377,2.8673193111432855,2.902237267414863,2.810455638487081,2.8388545327898282,2.8213456465559257,2.914435834450842,0.09162253266138122,0.09253299153393732,0.08648646333248505,0.06742077344476893,0.061557302615353096,0.17185400740872617,0.2414870891216772,0.3659085668888418,0.24336080494934664,0.24139995018298427,0.23856853212984508,1.363108874111438,1.7426164392020749,1.8258127084466607,1.4399356312155769,1.5947815806336643,1.1124801447133568,1.468696536824159,1.870956527254413,1.8455342263671326,1.9801143067220504,1.9153198214529414,1.7119847090115334,1.6393530102527176,0.024620781491919416,0.018585599442509374,0.022523291762795883,0.028716503489212036,0.03527852106442465,0.07789936424493189,0.08408322920970329,0.108527005756657,0.0882142865809406,0.07256831762598556,R1-R2,16,,16A,16A+16C,16A+16C,H0P0S1M0R1,00:02:54.881,174881,00:02:55.087,175087,206,R1,1.6,16,ppA_right,00:08:40.292,520292,00:08:41.012,521012,720,R2,2.3,16,ppB_both,5,1,A,B,0,0,1,0,1,1,2,0,2,2,1,-514,514,174819.0,175149.0,330.0,520292.0,521012.0,720.0,330.0,both,174624.0,175344.0,520292.0,521012.0,720.0
pair05,5,both,both,True,0.37771926125136784,2.665774679730676,0.3819697569738728,1.7769407240033168,0.16619827291311773,0.31880205293518094,0.005976740862900412,0.7022796851724713,0.3423528263235176,0.3252641263058245,0.3561788579998832,0.35860448253899746,0.3468424866459609,0.3847715778680427,0.9440786095916024,0.2921799813443446,0.3799513001755754,0.2936831896868043,0.2468116816545098,0.20373284513186646,0.4005319960730021,0.005780357564771432,0.9812842865556984,0.3543323062717417,0.4471323167974039,0.006173124161029393,0.4232750837892443,0.28327179959862014,0.23757333584963125,0.17334033199847645,0.18725565125772836,0.1524694775826007,0.16958138106782172,0.23742334202803028,1.1147882491409058,0.18596902195978704,0.1489849258225637,0.13224880855603913,0.10206963860813847,0.07652376282458329,0.45254034425506634,2.265752856043173,2.5073036922317735,2.465096283969131,2.4961812459290322,2.3647485295030557,2.8804649843666814,2.7647885286637908,2.8299365449228753,2.85214966316127,2.8547304221973118,2.853061465533554,2.855081940246466,0.32634717646085143,0.35643519960084746,0.35863972999585286,0.3470588043482803,0.38540253293251464,0.9562461386720017,0.293790425037736,0.3813432852700717,0.2956425899392675,0.2487641235483687,0.20588336778394828,0.42808371009673374,1.447906755984884,1.3042685574106527,1.9715673405916276,1.8867929596818467,1.684141021915899,1.7515662468095874,1.916726114645873,1.9365434688166845,1.6522753210266987,1.6350972134228552,1.9144625991205462,2.221941088612646,0.04162064413414128,0.045562448900897765,0.06133307114412357,0.06533230049548651,0.048640644482637066,0.08228682608428688,0.08450285980396127,0.08102515563137985,0.07375192364224924,0.06571279497364463,R1-R2,16,16C,,16A+16C,16A+16C,H0P0S0M0R0,00:02:56.611,176611,00:02:56.754,176754,143,R1,1.6,16,ppA_left,00:08:40.292,520292,00:08:41.012,521012,720,R2,2.3,16,ppB_both,5,1,A,B,0,0,0,0,0,1,2,0,0,0,0,-577,577,176517.5,176847.5,330.0,520292.0,521012.0,720.0,330.0,both,176322.5,177042.5,520292.0,521012.0,720.0
pair05,6,both,both,True,0.39992477417743166,2.5629514596509164,0.4005937832537655,1.5796568381326037,0.2692098022802002,0.3007711552626283,0.0287933624467641,0.9478711563059196,0.42581189133843733,0.2681719825170357,0.4103746171881331,0.43287660727710336,0.4386425347247153,0.4067645125959368,0.8440662789482608,0.04456070855888269,0.1867735520323618,0.2634379391930207,0.2829763073823362,0.2731327911567574,0.9473194585546362,0.025358561699487327,0.9070746622064833,0.3913660508605849,0.44126642492218515,0.03222816319404088,0.9886676504053559,0.21017625966467177,0.4103573577546895,0.05800492127858929,0.1710991722476434,0.24871125512634304,0.2667959249159425,0.2618688987947684,1.0225148820721741,0.2686508653491224,0.4198982572181921,0.44324170578580535,0.4518320690331768,0.4192678598029138,0.821714922255052,2.7503419041437827,2.7695741868927404,2.6250111764155997,2.5121853313784106,2.480068848453337,2.8869920797718667,1.3237373847966885,2.415402631065302,2.499967951525736,2.647675003024307,2.946357304041005,2.898103714302224,0.270246810647464,0.41145677646162676,0.4334392130654796,0.43878390318151256,0.4068090362173415,0.8452503088430987,0.04539102275683322,0.18690271578541354,0.2635225561653728,0.2834126194265113,0.273871198497887,0.9480392379966447,1.7849676156182626,1.790585551309472,1.6171822435449068,1.6770953868516612,1.6775798108355495,1.6773138285527474,1.2533020484210942,1.3193323412250815,1.4707943808526607,1.5185037370836256,1.4857843985614125,1.6834407147347719,0.12892204633201002,0.12483401879816053,0.11720449703878712,0.12412730791145264,0.1363264787965819,0.14930553261500942,0.1539188830652713,0.16228271504929145,0.16564505547955582,0.1765653547733854,R1-R2,16,16A+16C,16A+16C,16A+16C,16A+16C,H1P1S0M0R0,00:02:46.435,166435,00:02:47.595,167595,1160,R1,1.6,16,ppA_both,00:08:42.930,522930,00:08:43.210,523210,280,R2,2.3,16,ppB_both,5,1,A,B,1,1,0,0,0,2,2,1,2,2,0,880,880,166435.0,167595.0,1160.0,522905.0,523235.0,330.0,330.0,both,166435.0,167595.0,522490.0,523650.0,1160.0
pair05,7,both,both,True,0.3945553785862136,2.8130734891266806,0.3954179733585216,1.541575440634758,0.24299247189753004,0.30010872862376087,0.013281056161942355,0.924286651633464,0.41255881213972245,0.19613697747928918,0.32599185163714034,0.3645964185025935,0.3676253044555807,0.3455677989270947,1.023202605485116,0.24174245866565813,0.27206067179801785,0.2924676382478842,0.3032897880860252,0.29160837843832466,0.7103746513118379,0.015275764474559122,1.0705952185828858,0.3199836702003397,0.4686182177525948,0.011286347849325586,0.7779780846840424,0.28023378704718205,0.35649940652685,0.05320815509418852,0.095229936290287,0.18510014513696224,0.19781560949588892,0.1938765628017901,1.271614426888981,0.21863979365600458,0.3532531218065709,0.37248002240437594,0.3837303637006958,0.37629355485912563,0.9074396630040319,2.4425006596945704,2.6776831614263545,2.7324668771557303,2.6982813368095404,2.520423396139877,3.1562204217525744,2.533378708997879,2.9772581491356176,3.016747806654088,3.009435703922064,3.015622482169181,2.9768631656626954,0.19858642278676883,0.32745004123650606,0.36568587014574017,0.36815697662880725,0.34605940923020184,1.0239790789914969,0.24207465137220519,0.2724470625238024,0.2926079116195026,0.3038625743344033,0.292658261775043,0.7114474196577815,1.500962562151389,1.8069932259522177,1.798295512541972,1.583533525818988,1.4279137855452662,1.7030883621645565,1.7420365772883095,1.3631496645826235,1.3650288425146277,1.291535050274119,1.271670426461281,1.6446977523217476,0.11023219199372826,0.13267319001581002,0.13961972800232492,0.13888608526744953,0.13888997321543434,0.1145054593066868,0.09819079052139626,0.10310814073734434,0.10374248297013423,0.10248436394309826,R1-R2,16,16A+16C,16A+16C,16A+16C,16A+16C,H1P1S0M0R0,00:02:50.417,170417,00:02:51.539,171539,1122,R1,1.6,16,ppA_both,00:08:42.930,522930,00:08:43.210,523210,280,R2,2.3,16,ppB_both,5,1,A,B,1,1,0,0,0,2,2,1,2,2,0,842,842,170417.0,171539.0,1122.0,522905.0,523235.0,330.0,330.0,both,170417.0,171539.0,522509.0,523631.0,1122.0
pair05,8,both,both,True,0.20034000789552558,2.3730307848722685,0.20581313015138153,1.522123828363843,0.12824679822365775,0.13657753930976724,0.009330604856750838,0.5647081793375038,0.236872107834674,0.10112728802635249,0.10343032246741482,0.1112536474678518,0.077824319512786,0.04136108608595425,0.26235904300361096,0.12368277158677236,0.1911932841033901,0.1890518469123766,0.20677948494297863,0.22007134199179523,0.7759456586450235,0.0031372659567720875,0.2848943480927092,0.08699933271207187,0.12501031558718437,0.015523943756729589,0.8445220105822985,0.1861557459074626,0.3487339000821636,0.3444191426657277,0.38303148587919433,0.3166784654537326,0.28307880316200407,0.2445086559169793,1.0949284920597453,0.21593539568929243,0.2695591601430456,0.2599090467019175,0.2588822097560509,0.24806059620662482,0.8796726022629985,1.8462292190099419,2.292883889335054,2.4705404907370316,2.375995546519254,2.160136127115272,2.5304746612999827,1.999122437837449,2.5411490237306205,2.6026543733737304,2.583407927892791,2.5291657718115927,2.544609949804502,0.11226080083518516,0.11535687521260116,0.12072004482128848,0.08767131865005691,0.05555562789055607,0.26870607405690994,0.1241230901179086,0.1912612969585666,0.1891100391916416,0.20678430178479495,0.22008613461163704,0.7781219576854317,1.953557523309895,1.060315968723279,0.7214794497814571,0.863549389821547,0.7316931990774226,1.4989697035254814,1.9514315720115782,1.9597206980980695,1.9196249461156765,1.7725835925199014,1.5706415628222694,2.2619183345595366,0.07350352166525406,0.04087725568673072,0.019436550500792626,0.012552518691662445,0.00969191087137662,0.05126039008068746,0.06834976696186576,0.07083033248247905,0.07571851497807301,0.07843611511633698,R1-R2,16,,16A+16C,16A+16C,16A+16C,H0P1S1M0R1,00:02:52.693,172693,00:02:52.933,172933,240,R1,1.6,16,ppA_right,00:08:42.930,522930,00:08:43.210,523210,280,R2,2.3,16,ppB_both,5,1,A,B,0,1,1,0,1,1,2,0,3,3,1,-40,40,172648.0,172978.0,330.0,522905.0,523235.0,330.0,330.0,both,172673.0,172953.0,522930.0,523210.0,280.0
pair05,9,both,both,True,0.20891215337548388,2.228553319817216,0.2167429135384405,1.411358904449111,0.14599923263643017,0.12084345106034708,0.0072970951296138405,0.6965542843678773,0.27489827685261276,0.1112139350030545,0.10948085546846345,0.11533251225954941,0.0743594975931908,0.02750116608203491,0.24408045131902462,0.07879092777835603,0.2083204574510887,0.14479920554740144,0.1638169081838298,0.17481904523650166,1.0544308785833112,0.0029057145072315218,0.2601301674392614,0.08757759328125862,0.11687115840925051,0.01168847575199616,1.1329784012964932,0.15410930883943555,0.432925395295975,0.3465038799710931,0.37817136187687633,0.3185172666959686,0.2790721907203807,0.2251086070735761,1.0683531112490177,0.20252445827110152,0.2865539843851042,0.21443029567054633,0.2207042967004414,0.2113115850716168,1.3263580964922974,2.0113689794341996,2.093651075744108,2.354791725783293,1.9967283474666864,1.7795538081098106,2.580351632474881,1.821622243901953,2.5221319807074423,2.243468477908697,2.3530016720685993,2.336633690309819,2.6493362038971,0.12182338347488193,0.12433132672851048,0.12655608358559417,0.08373585920120157,0.04779485059133643,0.2590107429161602,0.08314197459892946,0.20976920609286642,0.14677947277800302,0.16442302764518363,0.175349162332305,1.0581998725163135,1.8792418912074424,1.5976016800923902,1.199965894271132,1.2518855554042714,1.5446316562600888,2.3061974157501726,1.2703206645929863,1.3092026484136867,0.7428579001718448,0.8137774455324142,0.7809741777215709,2.239649923971333,0.06303188283807006,0.048025400104001734,0.03430361480256222,0.028850671443250337,0.03654460990250724,0.047034770751696944,0.039548964458340885,0.05106446000507971,0.05075827042091846,0.054316817008398424,R1-R2,16,,16A,16A+16C,16A+16C,H0P0S1M1R1,00:02:54.881,174881,00:02:55.087,175087,206,R1,1.6,16,ppA_right,00:08:42.930,522930,00:08:43.210,523210,280,R2,2.3,16,ppB_both,5,1,A,B,0,0,1,1,1,1,2,0,3,3,2,-74,74,174819.0,175149.0,330.0,522905.0,523235.0,330.0,330.0,both,174844.0,175124.0,522930.0,523210.0,280.0
pair05,10,both,both,True,0.3736925286369862,2.585369763446753,0.37531661537937233,1.4962408066878323,0.15838810786029575,0.2955461325912321,0.008763213761129688,0.829773130733815,0.3780274923620589,0.22476796793579087,0.24892700831736128,0.2315510552881332,0.2548555557469232,0.3095417200998495,0.7833572836100883,0.37502014089267605,0.4173527030654506,0.33703114218748886,0.2986007213083956,0.2578133110702515,0.7454917341214259,0.007208489015209855,0.8375415721662641,0.2539286614776116,0.36622624088636185,0.010317938507049521,0.8220046893013657,0.3371636037048525,0.3898287438377559,0.012037452127866949,0.030715523113611715,0.041224096765531765,0.06817159413004012,0.13516956496485516,1.0285336791640929,0.1112024937716426,0.13724821729351286,0.13089843755546282,0.09041391284467018,0.05054804330965912,0.4266383365930195,2.3983083064035275,2.5323221892634895,2.5393602854743107,2.553302812230268,2.540431197673162,2.6574891781632926,2.658973426010797,2.6505607946532064,2.6450119626266675,2.651083142241034,2.651131386289971,2.546462480331309,0.22994246550853997,0.2536146063313471,0.2343848429627744,0.25586694159946155,0.31034258657894,0.783496751033619,0.37564725731619275,0.4180535868447726,0.33803358451430005,0.29937870099377073,0.25874740255883844,0.7462906583099116,1.5496925157880543,1.9059017367568365,1.1612030565445726,1.4759764132724755,1.6064678129598786,1.1971122937579701,1.62887742362692,1.5975791634303191,1.755197717249996,1.7213125036606691,1.5282463237276223,0.8273227194786745,0.02602945397136982,0.018248826463105466,0.016727579933352502,0.019098058144744,0.023082804544153648,0.061229689020149206,0.05276744116988574,0.05212439621735865,0.05159908473129726,0.0509009423966186,R1-R2,16,16C,,16A+16C,16A+16C,H0P1S0M1R0,00:02:56.611,176611,00:02:56.754,176754,143,R1,1.6,16,ppA_left,00:08:42.930,522930,00:08:43.210,523210,280,R2,2.3,16,ppB_both,5,1,A,B,0,1,0,1,0,1,2,0,2,2,1,-137,137,176517.5,176847.5,330.0,522905.0,523235.0,330.0,330.0,both,176542.5,176822.5,522930.0,523210.0,280.0
