time,x_left_wrist,y_left_wrist,z_left_wrist,x_right_wrist,y_right_wrist,z_right_wrist,scale_factor,x_right_thumb_tip_relative,y_right_thumb_tip_relative,z_right_thumb_tip_relative,x_left_thumb_tip_relative,y_left_thumb_tip_relative,z_left_thumb_tip_relative,x_right_index_finger_tip_relative,y_right_index_finger_tip_relative,z_right_index_finger_tip_relative,x_left_index_finger_tip_relative,y_left_index_finger_tip_relative,z_left_index_finger_tip_relative,x_right_middle_finger_tip_relative,y_right_middle_finger_tip_relative,z_right_middle_finger_tip_relative,x_left_middle_finger_tip_relative,y_left_middle_finger_tip_relative,z_left_middle_finger_tip_relative,x_right_ring_finger_tip_relative,y_right_ring_finger_tip_relative,z_right_ring_finger_tip_relative,x_left_ring_finger_tip_relative,y_left_ring_finger_tip_relative,z_left_ring_finger_tip_relative,x_right_pinky_finger_tip_relative,y_right_pinky_finger_tip_relative,z_right_pinky_finger_tip_relative,x_left_pinky_finger_tip_relative,y_left_pinky_finger_tip_relative,z_left_pinky_finger_tip_relative,File,Speaker,comparison_id
581080.0,0.1933086116000504,-0.1622395953123898,0.1321691128688278,-0.0695304996393682,0.2367635859964174,0.1321692735490741,2.609450697844658,0.14976280740381043,-0.1592809981901091,-0.007456972341868595,-0.24734983831204668,-0.029653742787645793,-0.007669339697752492,0.1588802160928679,-0.2164451038739001,-0.026103428963975495,-0.1928397454713419,-0.023967672834583204,-0.01159773686332459,0.10927829492756451,-0.2010589399725866,-0.0225996753985631,-0.1683522551060103,-0.050931901733819895,-0.0022014345842905902,0.0712742219517371,-0.1806708792412324,-0.0179477823630671,-0.13632112472636848,-0.06890896964390941,0.00855849468670461,0.044081701599447506,-0.15468470254043049,-0.0230161002160352,-0.1152372455783208,-0.08595867447630409,0.01309670775942251,001_b,B,30
581100.0,0.1919896345014977,-0.1628150597770685,0.1282584531144721,-0.0594575872733922,0.2344457157707837,0.128258620843206,2.609450697844658,0.1567085943302717,-0.14910562228468183,-0.007318728931860599,-0.24782936404870348,-0.029828540929366792,-0.008130134055190391,0.1694652469574028,-0.20618477825094472,-0.02750726848352579,-0.191008716364799,-0.0234046518237106,-0.012073698858315995,0.11970572262521931,-0.19303187671903332,-0.023974874396887794,-0.167760839572187,-0.05073675582669848,-0.002325697377904584,0.0802112363527155,-0.1743273852429101,-0.019112220978191388,-0.1360664152438641,-0.0688590174873629,0.008597416405943303,0.0516265731438897,-0.1485736974360483,-0.02435655489071499,-0.115021006176886,-0.0860510213319681,0.013107791385903095,001_b,B,30
581120.0,0.1906190353332238,-0.1638212172596365,0.1241684026694749,-0.0469708015845853,0.2322866608971123,0.1241685712836163,2.609450697844658,0.168717514410336,-0.13326419334623152,-0.0069838355326199,-0.24870732746353919,-0.02990482973276881,-0.008402183408760103,0.1852651172744077,-0.1903106455277992,-0.02877957964299581,-0.1902584490667453,-0.022919333590242008,-0.01224272995258581,0.1357610448923062,-0.1807779164470851,-0.025123093053544696,-0.1678206327931954,-0.0504454723727272,-0.0022665733550173983,0.0947484306529658,-0.1648113761990402,-0.020234221555686202,-0.1363052220738783,-0.06874300671510641,0.008719930339834786,0.06428320820597311,-0.1400522217425419,-0.025637916339581804,-0.1151127622643572,-0.08622216096666091,0.013200936380953598,001_b,B,30
581140.0,0.1891057755928283,-0.1652839880011873,0.1201049148198013,-0.0315117774919693,0.2306475381272832,0.1201050791651389,2.609450697844658,0.1839106715290672,-0.1124395432524208,-0.006528257922202713,-0.24969678648801258,-0.0298888218851166,-0.008417184324801805,0.2042383130520266,-0.1684088173104432,-0.02977242526449711,-0.1906869552849192,-0.022670367158214494,-0.0119977002513008,0.1556182277495139,-0.16388562563530962,-0.025884576114207206,-0.1685795264228733,-0.0501567943696051,-0.0020384066054394967,0.1134210435236514,-0.151810414464876,-0.0210950290578127,-0.1370349603588533,-0.0685868934093484,0.008884247378538698,0.0807100851621364,-0.1291487600199544,-0.026584695405813,-0.11552136908120408,-0.08644933935689089,0.013357396312698708,001_b,B,30
581160.0,0.1872906274769386,-0.1670478103559276,0.1160326953321668,-0.0128166849197227,0.2299329929043854,0.1160328487520658,2.609450697844658,0.19940342233960892,-0.0886121045830355,-0.005986932866966402,-0.2503621248440034,-0.0298322756265208,-0.008203377050587504,0.2236385739123663,-0.1412440871052055,-0.030202419555358906,-0.1923840834434204,-0.022733695973323087,-0.011362857461091905,0.1765055801318634,-0.14266340739233102,-0.026057408843371002,-0.17010553737543,-0.0499539382085161,-0.0017353886692065001,0.1337334700017668,-0.1354080570404939,-0.021445792533031305,-0.1382303310921679,-0.06840629727816719,0.009006001132362898,0.0987905430301895,-0.1160930430481022,-0.026902625496821403,-0.11629933202799908,-0.0866789968912183,0.01351199954555539,001_b,B,30
581180.0,0.1851141960459838,-0.168793622608496,0.1117563212245301,0.0086300926261755,0.2305752909087282,0.1117564552584457,2.609450697844658,0.21256154595319168,-0.06451120666046539,-0.005353757591429295,-0.25047231525077773,-0.029839157986080583,-0.007836118769007694,0.24094955573961518,-0.11094345184997569,-0.029777019074520794,-0.1951854074614239,-0.02312489644448329,-0.010493565416211798,0.1957064707808697,-0.1185681090750826,-0.025524908135852897,-0.17230758926820952,-0.049924260143340504,-0.001447978734573488,0.1530146326680777,-0.11654717103113019,-0.021149254346565394,-0.139796544924177,-0.06824945437263019,0.00902966622978231,0.11637943154044719,-0.1016429917405704,-0.026481380750808997,-0.11742247130494561,-0.0868781125613512,0.013618568807316392,001_b,B,30
581200.0,0.1826668902759117,-0.1702399842534232,0.1070521872251914,0.0316775492150216,0.2329039388404654,0.1070522948221104,2.609450697844658,0.2218040598636321,-0.04264725052245219,-0.004629960810956901,-0.2501303941771532,-0.029962623179194986,-0.007398033928025502,0.2545767599784271,-0.08063104384325251,-0.028434122796675898,-0.19848012475430932,-0.023762083827470998,-0.009609790860806294,0.21129261120098008,-0.0941030373072356,-0.024390138154077104,-0.1747601810263654,-0.050070500122026684,-0.0012059658344084068,0.16915362044335291,-0.0971298626290113,-0.020316883080890705,-0.1414609187659804,-0.06813716113985088,0.008984145693037904,0.1317389851230743,-0.08721808829183669,-0.0255257013035355,-0.11864901254792981,-0.0869901519910852,0.013691568572968896,001_b,B,30
581220.0,0.1801324481570729,-0.1713273809344957,0.1017998658138602,0.0548269680306777,0.2369323902395141,0.1017999448386314,2.609450697844658,0.2268710394792216,-0.02452043840853549,-0.0037661902123947016,-0.24963630630801042,-0.030130262782443795,-0.006964435759226298,0.26416961767898106,-0.053647190848880894,-0.026378287489685598,-0.201453603009618,-0.024385951102550096,-0.008914892126047708,0.2224625957554336,-0.072099768689523,-0.022889162393972498,-0.17683019081326362,-0.050207991868968405,-0.001013706860713906,0.1811106324508276,-0.0794702602438648,-0.019222107438228497,-0.14279956881041442,-0.06798736121462978,0.00895150116795719,0.14380416469966578,-0.0744786380717466,-0.024417548141948908,-0.11958870690918741,-0.08689983703284551,0.013767141336904501,001_b,B,30
581240.0,0.1777434222531522,-0.1721676078127092,0.0961730727626083,0.0765125671957997,0.2422613644228688,0.0961731261459674,2.609450697844658,0.2286600593876571,-0.010472389743387794,-0.002617339788582404,-0.2493093346399465,-0.030183154296819198,-0.0065459847887267,0.2703851411607267,-0.0325458420796359,-0.023915038789828508,-0.20366492353669222,-0.0246474976192472,-0.008469727957272688,0.22949762930356632,-0.054748294603179204,-0.021204837208681507,-0.1781596783266732,-0.050060077660245283,-0.0008566956840408008,0.1890610028662248,-0.06539964154667,-0.018082904181519407,-0.1435737210291417,-0.06766370934943008,0.0090102967727691,0.15233891323042148,-0.06459991721754779,-0.023446985739887904,-0.1200531658998325,-0.08651096251314597,0.013870930825683608,001_b,B,30
581260.0,0.1757259632898006,-0.1728405482102764,0.0908199788819676,0.0954184980614508,0.2482390752255585,0.0908200115040309,2.609450697844658,0.22860234629114107,-0.00013714466104100542,-0.0011146492137352054,-0.2493669252366284,-0.02992937731204831,-0.006046191469875908,0.2741771548511629,-0.01828375627841969,-0.021359331580218105,-0.20541186270639292,-0.024386031091551102,-0.008122541435976002,0.23337846278798108,-0.042871597166451,-0.019453993319805005,-0.1790626358103853,-0.04950506350955991,-0.0006552277320411998,0.19401086012974428,-0.05560930244219439,-0.016994598854473908,-0.14408375769891582,-0.067103644642757,0.009204380327916095,0.1577980941864361,-0.05781969073530699,-0.0227065501676659,-0.1203407498740516,-0.08584252750554561,0.014029676162902197,001_b,B,30
